date,tsp_name,loc,tsq
"October 29, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,-40000
"October 28, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 28, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 28, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 27, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 27, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 27, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 26, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 26, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 26, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,-30000
"October 25, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 25, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 25, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 24, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 24, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 24, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 23, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 23, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 23, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 22, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 22, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 22, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 21, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 21, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 21, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 20, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 20, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 20, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 19, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 19, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 19, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 18, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 18, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 18, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 17, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 17, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 17, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 16, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 16, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 16, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 15, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 15, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 15, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 14, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 14, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 14, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 13, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
